Neighborhood,Id,Estimate; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
Allegheny Center,1,39947000,6437773
Allegheny West,2,23793300,22025939
Allentown,3,38303700,7490207
Arlington,4,35349900,6140663
Arlington Heights,5,2389600,1162393
Banksville,6,138084700,25839799
Bedford Dwellings,7,10529100,1666825
Beechview,8,193055900,20558894
Beltzhoover,9,28121300,6955896
Bloomfield,10,249898900,17631531
Bluff,11,11005200,3053715
Bon Air,12,22093100,4363955
Brighton Heights,13,201692800,18528010
Brookline,14,366945900,33459110
California-Kirkbride,15,10718900,2850114
Carrick,16,221221100,25358377
Central Business District,17,210460000,38813243
Central Lawrenceville,18,144917900,14971960
Central Northside,19,96353500,14187903
Central Oakland,20,55528300,8248328
Chartiers City,21,13805200,4387080
Chateau,22,0,0
Crafton Heights,23,89278600,14312490
Crawford-Roberts,24,34226600,7964969
Duquesne Heights,25,91613300,18318438
East Allegheny,26,56433100,9846049
East Carnegie,27,14945000,4062628
East Hills,28,41528200,7871752
East Liberty,29,115711700,16575789
Elliott,30,43215900,8110202
Esplen,31,5433900,2379084
Fairywood,32,33908400,8418356
Fineview,33,25475500,7391479
Friendship,34,47475400,8631431
Garfield,35,67632800,16399392
Glen Hazel,36,4773300,2914988
Greenfield,37,241377900,26174704
Hays,38,6432200,1912520
Hazelwood,39,75829000,13563882
Highland Park,40,242405400,35463933
Homewood North,41,37727300,7125086
Homewood South,42,29434400,4468175
Homewood West,43,11290000,2726332
Knoxville,44,60537300,11423845
Larimer,45,18139300,3363491
Lincoln Place,46,84551900,12450241
Lincoln-Lemington-Belmar,47,91032900,15513365
Lower Lawrenceville,48,63562900,9964615
Manchester,49,54372200,15557378
Marshall-Shadeland,50,68871800,10291350
Middle Hill,51,27566200,5776017
Morningside,52,87871100,11202093
Mount Oliver Borough,53,61592000,18596384
Mount Washington,54,267100700,26611655
Mt. Oliver,55,13962700,3748518
New Homestead,56,27062600,3763271
North Oakland,57,123408700,20564747
North Shore,58,12397000,4415906
Northview Heights,59,8755000,2398522
Oakwood,60,25014900,4076094
Overbrook,61,90146300,10295987
Perry North,62,104107900,12948264
Perry South,63,54989600,8757092
Point Breeze,64,314958500,30291428
Point Breeze North,65,59572300,9198291
Polish Hill,66,38888900,6374408
Regent Square,67,52288700,8704589
Ridgemont,68,7893900,2639357
Shadyside,69,605635700,62416084
Sheraden,70,101081700,11670389
South Oakland,71,47722300,10823398
South Shore,72,0,0
South Side Flats,73,233098400,31279287
South Side Slopes,74,123648400,18884639
Spring Garden,75,15833800,2941611
Spring Hill-City View,76,46688500,9345350
Squirrel Hill North,77,577467500,66363784
Squirrel Hill South,78,659886300,57908445
St. Clair,79,3867600,1527597
Stanton Heights,80,134047100,15607514
Strip District,81,91738300,37240188
Summer Hill,82,40337500,8808166
Swisshelm Park,83,43095600,4652129
Terrace Village,84,16879300,3672344
Troy Hill,85,77521600,22171206
Upper Hill,86,39512800,12264473
Upper Lawrenceville,87,65738500,16007126
West End,88,3615800,2204875
West Oakland,89,16339500,3412753
Westwood,90,91857100,11304497
Windgap,91,34609300,6432817
