Year,Age_Range,Sex,Total,No_HS_Diploma,HS_Diploma,Some_College_No_Degree,Associate,Bachelor,Advanced
1995,18_64,Both,117473,13086,38746,24887,9757,20845,10147
1995,18_24,Both,16018,2750,5272,5527,832,1576,60
1995,25_34,Both,32180,3182,10715,6251,2994,6994,2044
1995,35_44,Both,33728,2888,11042,6687,3233,6351,3524
1995,45_64,Both,35547,4266,11717,6422,2698,5924,4519
1995,18_64,Male,62915,7980,20566,12555,4534,11294,5984
1995,18_24,Male,8386,1711,3054,2612,348,642,18
1995,25_34,Male,17600,2112,6094,3270,1395,3595,1134
1995,35_44,Male,17972,1728,5862,3429,1473,3503,1976
1995,45_64,Male,18957,2429,5556,3244,1318,3554,2856
1995,18_64,Female,54558,5106,18180,12332,5223,9551,4163
1995,18_24,Female,7632,1039,2218,2915,484,934,42
1995,25_34,Female,14580,1070,4621,2981,1599,3399,910
1995,35_44,Female,15756,1160,5180,3258,1760,2848,1548
1995,45_64,Female,16590,1837,6161,3178,1380,2370,1663
2005,18_64,Both,132121,13545,39745,26345,12583,26510,13393
2005,18_24,Both,17007,2765,5483,5939,952,1781,88
2005,25_34,Both,29934,3227,8161,5644,2883,7325,2693
2005,35_44,Both,34399,3264,10671,5814,3601,7369,3680
2005,45_64,Both,50781,4290,15430,8948,5147,10035,6931
2005,18_64,Male,70342,8661,22187,13072,5760,13464,7199
2005,18_24,Male,8817,1766,3160,2690,437,737,27
2005,25_34,Male,16415,2213,5008,2988,1405,3542,1260
2005,35_44,Male,18477,2098,6049,2891,1655,3824,1960
2005,45_64,Male,26634,2584,7970,4503,2262,5360,3954
2005,18_64,Female,61779,4885,17558,13274,6823,13046,6194
2005,18_24,Female,8190,1000,2323,3249,514,1044,61
2005,25_34,Female,13520,1014,3154,2656,1478,3784,1434
2005,35_44,Female,15922,1167,4622,2923,1946,3545,1720
2005,45_64,Female,24147,1704,7460,4446,2885,4674,2979
2015,18_64,Both,196254,22448,55740,39005,19140,39433,20487
2015,18_24,Both,30116,5077,9079,11049,1670,3016,226
2015,25_34,Both,43006,4093,10965,7942,4477,10859,4670
2015,35_44,Both,39919,4499,10335,6430,4174,8980,5501
2015,45_64,Both,83213,8779,25361,13584,8819,16578,10090
2015,18_64,Male,96613,11908,29705,18893,8291,18431,9386
2015,18_24,Male,15164,2683,5011,5356,712,1331,71
2015,25_34,Male,21428,2240,6197,3919,2001,5081,1990
2015,35_44,Male,19621,2408,5666,3188,1804,4154,2402
2015,45_64,Male,40400,4577,12831,6430,3774,7865,4923
2015,18_64,Female,99641,10545,26032,20111,10849,21003,11101
2015,18_24,Female,14952,2394,4068,5692,958,1684,155
2015,25_34,Female,21579,1855,4767,4023,2477,5778,2680
2015,35_44,Female,20298,2092,4668,3242,2370,4826,3100
2015,45_64,Female,42812,4204,12529,7154,5044,8715,5166
